Mentor Certification ,,,
,,,
,,,
Name: ,Date:,,
**Upon successful completion of the Super Scooper Level ,,,
*Passing score is 84% or higher,Score ,84%,
,,,
,Yes,No,Notes
Does the employee consistently arrive on time for their scheduled shifts?,FALSE,FALSE,
Does the employee follow call-out and time off request procedures correctly?,FALSE,FALSE,
Can be relied on to independently communicate with guests?,FALSE,FALSE,
Does the employee use correct portions when making product?,FALSE,FALSE,
"Does the employee arrive to work in clean hygiene and adheres to the dress code? (Clean clothes, brushed hair, deodorant, etc..)",FALSE,FALSE,
Explain to me what cross-contamination is and how is it avoided? ,TRUE,FALSE,
Does the employee use appropriate language and conversations at work?,TRUE,FALSE,
Does the employee ask for clarity when they are unsure of a task?,TRUE,FALSE,
Can the employee independently follow the instructions as written on a recipe?,TRUE,FALSE,
Does the employee have a positive attitude at work?,TRUE,FALSE,
Do them show patience when teaching others that learn slowly?,TRUE,FALSE,
Do they correct mistakes calmly and respectfully? ,TRUE,FALSE,
Does the employee maintain composure when under pressure?,TRUE,FALSE,
Does the employee take responsibility for their actions?,TRUE,FALSE,
Do they support company standards even when no one is watching?,TRUE,FALSE,
Does the person adhere to the daily shift checklists? ,TRUE,FALSE,
Does the employee maintain a steady pace during slow and busy times?,TRUE,FALSE,
Does the employee lead by example with product quality and guest experience? ,TRUE,FALSE,
Can the employee redirect mistakes without embarrassment or putting someone down?,TRUE,FALSE,
Can the employee explain their expectations clearly to another individual?,TRUE,FALSE,
 Does the employee accept feedback constructively? ,TRUE,FALSE,
Do they demonstrate willingness to improve? ,TRUE,FALSE,
What are the training resources and where to find them? ,TRUE,FALSE,
Can the employee explain TGS mission?,TRUE,FALSE,
Can the employee ename and explain the 10 core flavors?,TRUE,FALSE,
Can the employee make a milkshake?,TRUE,FALSE,
Can the employee make a hot drink?,TRUE,FALSE,
Can the employee brew coffee?,TRUE,FALSE,
Can the employee prepare a bag of coffee beans togo?,TRUE,FALSE,
Can  they operate the POS/Register independently?,TRUE,FALSE,
How long should someone wash your hands for?,TRUE,FALSE,
Can they explain the training steps to scooping?,TRUE,FALSE,
,27,,
